"KOD03_097"	"AD06_048"	"WC05_048"	"HS04_048"	"PS12_009"	"GS13_017"	"PWS12_133"	"UP03_048"
"X10002"	41	31	33	40	41	12	24	42
"X10003"	40	28	32	39	41	12	24	42
"X10004"	40	30	33	39	40	12	24	41
"X10007"	41	31	33	40	40	12	24	42
"X10008"	39	28	31	37	40	11	24	39
"X10013"	41	31	33	40	41	12	24	42
"X10014"	36	31	32	39	36	12	23	37
"X10018"	39	28	30	36	38	11	23	36
"X1002"	41	31	33	40	41	12	24	42
"X10020"	41	31	33	39	40	12	24	41
"X10022"	41	31	33	40	41	12	24	42
"X10027"	41	31	33	40	41	12	24	42
"X1003"	41	31	33	40	41	12	24	42
"X10030"	37	29	30	36	37	10	23	39
"X10031"	41	30	33	39	41	12	24	42
"X10032"	41	30	30	39	41	12	24	42
"X10034"	39	28	32	40	38	12	24	38
"X10035"	41	31	32	40	41	12	24	41
"X10036"	35	28	31	37	35	11	23	36
"X10041"	41	31	33	40	41	12	24	42
"X10044"	39	31	32	40	39	12	24	41
"X10046"	38	28	33	38	36	12	23	40
"X10057"	39	29	31	39	39	12	24	42
"X10058"	38	28	31	37	40	11	24	39
"X10059"	34	29	32	35	38	12	23	39
"X1006"	40	31	32	39	38	12	23	42
"X10062"	36	29	32	37	38	12	22	38
"X10070"	39	30	32	40	40	12	24	41
"X10075"	39	26	31	38	39	12	24	40
"X10080"	41	31	33	39	41	12	24	42
"X10083"	35	30	30	38	40	12	24	39
"X10084"	41	30	33	40	41	11	24	42
"X10085"	41	30	33	40	41	12	24	41
"X10088"	39	28	31	37	40	11	24	39
"X10092"	40	30	33	40	41	12	24	42
"X10094"	41	31	33	40	41	12	24	42
"X10097"	39	29	27	37	33	12	22	38
"X10099"	38	28	33	39	41	12	24	40
"X10100"	39	29	33	38	41	12	23	39
"X10103"	41	30	33	40	40	12	24	41
"X10104"	40	27	29	40	40	12	23	40
"X10106"	40	31	33	40	41	12	24	42
"X1011"	41	31	33	39	41	12	24	42
"X10113"	40	31	33	40	41	12	24	42
"X10115"	40	30	32	37	38	12	21	41
"X10121"	38	26	29	38	39	12	23	40
"X10127"	41	31	32	40	41	12	24	42
"X10129"	41	30	32	39	41	12	24	42
"X1013"	41	30	32	38	40	12	23	42
"X10130"	41	31	32	40	39	11	24	42
"X10133"	41	31	33	38	40	12	24	42
"X10134"	39	30	31	36	37	12	24	39
"X10136"	35	29	31	38	38	12	24	38
"X10139"	40	30	32	40	40	12	23	41
"X10140"	36	30	30	38	36	10	21	33
"X10141"	39	31	33	39	38	11	24	41
"X10146"	36	30	30	37	39	11	23	38
"X10153"	41	31	33	40	41	12	24	42
"X10154"	41	30	31	40	40	11	24	40
"X10155"	41	30	32	38	39	12	24	40
"X10156"	41	30	32	40	41	11	24	40
"X10160"	40	30	32	40	41	12	23	42
"X10163"	37	29	29	37	37	11	23	38
"X10165"	40	30	28	40	40	12	23	39
"X10168"	39	28	31	37	40	11	23	39
"X10172"	36	31	33	38	41	12	24	41
"X10175"	40	31	33	40	41	12	24	42
"X10185"	40	31	32	40	41	12	24	42
"X10193"	35	29	32	35	38	11	23	38
"X10196"	41	31	32	38	39	12	24	41
"X102"	39	30	32	40	39	11	24	40
"X1020"	41	31	33	40	41	12	24	42
"X10202"	38	29	31	39	38	12	24	38
"X10203"	39	31	32	39	40	11	24	42
"X10205"	37	29	32	35	34	12	24	39
"X10206"	39	30	31	37	40	12	24	40
"X10209"	40	29	31	37	39	12	24	41
"X10211"	40	31	33	39	41	12	24	41
"X10212"	40	30	33	40	41	12	24	42
"X10214"	40	30	30	39	40	11	24	42
"X10215"	41	31	32	39	41	12	22	42
"X1022"	37	27	32	36	37	12	24	39
