Sample	# Genotypes Missing	% Genotypes Missing
KOD03_035	40	0.009945301
KOD03_051	102	0.025360517
KOD03_052	31	0.007707608
KOD03_053	1017	0.252859274
KOD03_054	42	0.010442566
KOD03_055	9	0.002237693
KOD03_056	123	0.0305818
KOD03_057	0	0
KOD03_058	57	0.014172054
KOD03_059	656	0.163102934
KOD03_060	1008	0.250621581
KOD03_061	11	0.002734958
KOD03_062	1302	0.323719543
KOD03_063	36	0.008950771
KOD03_064	0	0
KOD03_065	10	0.002486325
KOD03_066	1	0.000248633
KOD03_067	7	0.001740428
KOD03_068	562	0.139731477
KOD03_069	33	0.008204873
KOD03_070	435	0.108155147
KOD03_071	17	0.004226753
KOD03_072	421	0.104674291
KOD03_073	596	0.148184983
KOD03_074	45	0.011188463
KOD03_075	360	0.089507708
KOD03_076	39	0.009696668
KOD03_077	110	0.027349577
KOD03_078	11	0.002734958
KOD03_079	415	0.103182496
KOD03_080	387	0.096220786
KOD03_081	13	0.003232223
KOD03_082	42	0.010442566
KOD03_083	106	0.026355047
KOD03_084	36	0.008950771
KOD03_085	35	0.008702138
KOD03_086	269	0.066882148
KOD03_087	2520	0.626553953
KOD03_088	1651	0.410492292
KOD03_089	34	0.008453506
KOD03_090	43	0.010691198
KOD03_091	1326	0.329686723
KOD03_092	3113	0.773993038
KOD03_093	51	0.012680259
KOD03_094	588	0.146195922
KOD03_095	375	0.093237195
KOD03_096	38	0.009448036
KOD03_097	71	0.017652909
AD06_001	5	0.001243163
AD06_002	2577	0.640726007
AD06_003	83	0.020636499
AD06_004	33	0.008204873
AD06_005	1914	0.475882645
AD06_006	138	0.034311288
AD06_007	50	0.012431626
AD06_008	24	0.005967181
AD06_009	523	0.130034809
AD06_010	851	0.211586275
AD06_011	0	0
AD06_012	1146	0.284932869
AD06_013	306	0.076081551
AD06_014	1613	0.401044257
AD06_015	1606	0.399303829
AD06_016	1511	0.375683739
AD06_017	4	0.00099453
AD06_018	19	0.004724018
AD06_019	648	0.161113874
AD06_020	49	0.012182994
AD06_021	106	0.026355047
AD06_022	2255	0.560666335
AD06_023	102	0.025360517
AD06_024	1751	0.435355545
AD06_025	44	0.010939831
AD06_026	1447	0.359771258
AD06_027	1413	0.351317752
AD06_028	1947	0.484087519
AD06_029	41	0.010193933
AD06_030	32	0.007956241
AD06_031	3299	0.820238687
AD06_032	94	0.023371457
AD06_033	1286	0.319741422
AD06_034	2290	0.569368473
AD06_035	16	0.00397812
AD06_036	3	0.000745898
AD06_037	611	0.15191447
AD06_038	541	0.134510194
AD06_039	1332	0.331178518
AD06_040	54	0.013426156
AD06_041	17	0.004226753
AD06_042	200	0.049726504
AD06_043	1810	0.450024863
AD06_044	4	0.00099453
