p.missing	sample
0.015367728	KOD03_035
0.041712404	KOD03_051
0.009879254	KOD03_052
0.281793947	KOD03_053
0.017719931	KOD03_054
0.00752705	KOD03_055
0.050023522	KOD03_056
0.008938372	KOD03_057
0.024619727	KOD03_058
0.19397836	KOD03_059
0.2766191	KOD03_060
0.013329152	KOD03_061
0.36412106	KOD03_062
0.009408813	KOD03_063
0.009565626	KOD03_064
0.013956406	KOD03_065
0.006586169	KOD03_066
0.012231457	KOD03_067
0.175631175	KOD03_068
0.012545084	KOD03_069
0.134389211	KOD03_070
0.010506508	KOD03_071
0.132977889	KOD03_072
0.191155716	KOD03_073
0.016622236	KOD03_074
0.112905755	KOD03_075
0.012858711	KOD03_076
0.041398777	KOD03_077
0.010663321	KOD03_078
0.128900737	KOD03_079
0.125764466	KOD03_080
0.013015525	KOD03_081
0.014740474	KOD03_082
0.031205896	KOD03_083
0.015367728	KOD03_084
0.015994982	KOD03_085
0.08969735	KOD03_086
0.650148973	KOD03_087
0.447859495	KOD03_088
0.013956406	KOD03_089
0.018347185	KOD03_090
0.365846009	KOD03_091
0.790026658	KOD03_092
0.018817626	KOD03_093
0.18472636	KOD03_094
0.121373687	KOD03_095
0.014270033	KOD03_096
0.032460405	KOD03_097
0.006429355	AD06_001
0.668809785	AD06_002
0.033714913	AD06_003
0.017092677	AD06_004
0.507448644	AD06_005
0.047357692	AD06_006
0.023992473	AD06_007
0.015838168	AD06_008
0.16528148	AD06_009
0.244001882	AD06_010
0.010036067	AD06_011
0.322251843	AD06_012
0.10694684	AD06_013
0.433275835	AD06_014
0.433119021	AD06_015
0.420887565	AD06_016
0.008311118	AD06_017
0.010506508	AD06_018
0.196487377	AD06_019
0.023522032	AD06_020
0.040771523	AD06_021
0.587109926	AD06_022
0.039673828	AD06_023
0.471538341	AD06_024
0.020542575	AD06_025
0.394072448	AD06_026
0.394229261	AD06_027
0.511839423	AD06_028
0.01191783	AD06_029
0.015994982	AD06_030
0.836443469	AD06_031
0.037164811	AD06_032
0.356750823	AD06_033
0.592598401	AD06_034
0.011604203	AD06_035
0.012231457	AD06_036
0.185039987	AD06_037
0.169201819	AD06_038
0.37603889	AD06_039
0.016151796	AD06_040
0.011133762	AD06_041
0.067900267	AD06_042
0.473106476	AD06_043
0.012858711	AD06_044
0.02650149	AD06_045
0.033401286	AD06_046
0.027755998	AD06_047
0.010036067	AD06_048
0.021953897	WC05_001
0.042182845	WC05_002
0.014897287	WC05_003
0.220793477	WC05_004
0.051905285	WC05_005
0.015838168	WC05_006
0.245413204	WC05_007
0.00705661	WC05_008
0.035910303	WC05_009
0.18206053	WC05_010
0.481731222	WC05_011
0.015210914	WC05_012
0.414301396	WC05_013
0.01191783	WC05_014
0.005331661	WC05_015
0.015524541	WC05_016
0.011133762	WC05_017
0.008624745	WC05_018
0.263603575	WC05_019
0.41492865	WC05_020
0.091108672	WC05_021
0.011604203	WC05_022
0.051591658	WC05_023
0.307040928	WC05_024
0.017406304	WC05_025
0.236161204	WC05_026
0.205268935	WC05_027
0.395170143	WC05_028
0.013642779	WC05_029
0.255762898	WC05_030
0.041398777	WC05_031
0.010976948	WC05_032
0.021326643	WC05_033
0.096910773	WC05_034
0.015210914	WC05_035
0.044848675	WC05_036
0.067586639	WC05_037
0.796612827	WC05_038
0.556217657	WC05_039
0.014270033	WC05_040
0.026187863	WC05_041
0.433275835	WC05_042
0.675082327	WC05_043
0.092676807	WC05_044
0.408028854	WC05_045
0.321467775	WC05_046
0.059902776	WC05_047
0.049396268	WC05_048
