populations -b 1 -P ../stacks -M PopMap.txt -t 36 -r 0.75 -p 4 -m 10 --genepop --fasta
populations version 1.44 executed 2017-03-30 11:59:37

# Distribution of population loci.
# Distribution of valid loci matched to catalog locus.
# Valid samples at locus	Count
0	5
1	14829
2	4682
3	2545
4	1671
5	1302
6	1037
7	785
8	680
9	655
10	514
11	465
12	401
13	398
14	333
15	322
16	306
17	258
18	237
19	223
20	210
21	215
22	184
23	183
24	163
25	193
26	176
27	165
28	153
29	132
30	141
31	135
32	124
33	121
34	144
35	111
36	125
37	100
38	108
39	99
40	91
41	93
42	104
43	100
44	85
45	90
46	90
47	86
48	77
49	87
50	77
51	78
52	74
53	65
54	73
55	75
56	85
57	81
58	84
59	74
60	72
61	71
62	65
63	74
64	52
65	72
66	67
67	65
68	54
69	65
70	61
71	54
72	56
73	54
74	63
75	62
76	69
77	49
78	46
79	49
80	62
81	72
82	71
83	54
84	55
85	54
86	59
87	64
88	57
89	61
90	60
91	54
92	64
93	46
94	56
95	49
96	64
97	64
98	63
99	59
100	52
101	58
102	49
103	47
104	48
105	56
106	51
107	68
108	64
109	58
110	59
111	66
112	55
113	59
114	39
115	50
116	68
117	65
118	56
119	57
120	58
121	59
122	74
123	62
124	50
125	69
126	61
127	67
128	66
129	54
130	63
131	66
132	75
133	53
134	65
135	44
136	56
137	67
138	71
139	58
140	66
141	76
142	70
143	66
144	74
145	58
146	56
147	64
148	66
149	56
150	71
151	81
152	67
153	61
154	61
155	66
156	68
157	72
158	69
159	81
160	66
161	73
162	81
163	71
164	75
165	66
166	94
167	72
168	72
169	84
170	90
171	88
172	96
173	82
174	76
175	90
176	84
177	86
178	79
179	104
180	88
181	95
182	104
183	92
184	106
185	91
186	98
187	99
188	110
189	116
190	106
191	105
192	115
193	93
194	102
195	93
196	97
197	118
198	111
199	103
200	110
201	102
202	121
203	108
204	120
205	125
206	143
207	116
208	125
209	129
210	131
211	103
212	101
213	146
214	156
215	151
216	133
217	150
218	164
219	161
220	160
221	148
222	146
223	148
224	147
225	150
226	149
227	164
228	159
229	157
230	146
231	179
232	157
233	156
234	161
235	168
236	156
237	161
238	173
239	164
240	185
241	175
242	177
243	176
244	189
245	169
246	180
247	182
248	198
249	196
250	181
251	181
252	206
253	191
254	209
255	215
256	190
257	186
258	195
259	191
260	223
261	200
262	224
263	197
264	196
265	213
266	207
267	229
268	233
269	213
270	224
271	213
272	250
273	233
274	232
275	225
276	234
277	192
278	223
279	227
280	242
281	231
282	256
283	254
284	263
285	225
286	274
287	234
288	242
289	255
290	237
291	271
292	282
293	261
294	292
295	265
296	277
297	271
298	269
299	272
300	283
301	297
302	314
303	290
304	296
305	300
306	318
307	310
308	327
309	317
310	308
311	330
312	323
313	316
314	359
315	367
316	321
317	364
318	374
319	304
320	351
321	329
322	307
323	310
324	296
325	268
326	256
327	228
328	183
329	132
330	98
331	72
332	66
333	53
334	39
335	30
336	23
337	21
338	19
339	16
340	12
341	6
342	6
343	3
344	2
345	2
346	3
347	3
348	1
349	1
# Distribution of confounded loci at catalog locus.
# Confounded samples at locus	Count
0	72294
1	742
2	319
3	206
4	124
5	99
6	69
7	58
8	66
9	52
10	32
11	37
12	28
13	21
14	16
15	20
16	19
17	16
18	21
19	17
20	12
21	9
22	13
23	12
24	16
25	13
26	12
27	6
28	7
29	5
30	8
31	6
32	10
33	6
34	4
35	7
36	8
37	10
38	9
39	4
40	6
41	8
42	5
43	12
44	7
45	5
46	9
47	4
48	2
49	6
50	4
51	1
52	5
53	2
54	1
55	4
56	4
57	2
58	3
59	4
60	2
61	2
62	2
63	3
64	3
65	2
66	4
67	2
68	3
69	4
70	2
71	4
72	4
73	4
74	3
75	1
76	5
77	1
78	2
79	3
80	2
81	3
83	1
84	1
85	1
86	1
87	2
88	2
89	4
93	2
94	3
95	2
96	1
97	3
99	1
100	1
101	2
102	1
103	3
104	5
105	2
106	2
109	1
110	3
112	2
113	1
116	1
117	2
118	1
120	2
121	1
122	1
124	1
125	1
126	2
127	1
129	2
130	1
131	1
132	1
134	1
137	1
138	1
139	3
140	1
141	1
143	1
148	5
152	1
153	1
155	1
157	2
158	1
161	1
162	1
163	2
164	2
166	1
168	3
174	2
176	1
177	1
178	1
179	1
180	1
181	2
186	2
188	1
193	1
194	1
196	1
197	1
198	1
200	1
203	1
207	1
213	1
215	1
219	1
220	1
221	1
223	1
228	1
231	1
232	1
235	1
251	1
252	1
265	1
269	1
271	1
275	1
276	1
283	1
# Distribution of missing loci at catalog loci.
# Absent samples at locus	Count
0	72294
1	742
2	319
3	206
4	124
5	99
6	69
7	58
8	66
9	52
10	32
11	37
12	28
13	21
14	16
15	20
16	19
17	16
18	21
19	17
20	12
21	9
22	13
23	12
24	16
25	13
26	12
27	6
28	7
29	5
30	8
31	6
32	10
33	6
34	4
35	7
36	8
37	10
38	9
39	4
40	6
41	8
42	5
43	12
44	7
45	5
46	9
47	4
48	2
49	6
50	4
51	1
52	5
53	2
54	1
55	4
56	4
57	2
58	3
59	4
60	2
61	2
62	2
63	3
64	3
65	2
66	4
67	2
68	3
69	4
70	2
71	4
72	4
73	4
74	3
75	1
76	5
77	1
78	2
79	3
80	2
81	3
83	1
84	1
85	1
86	1
87	2
88	2
89	4
93	2
94	3
95	2
96	1
97	3
99	1
100	1
101	2
102	1
103	3
104	5
105	2
106	2
109	1
110	3
112	2
113	1
116	1
117	2
118	1
120	2
121	1
122	1
124	1
125	1
126	2
127	1
129	2
130	1
131	1
132	1
134	1
137	1
138	1
139	3
140	1
141	1
143	1
148	5
152	1
153	1
155	1
157	2
158	1
161	1
162	1
163	2
164	2
166	1
168	3
174	2
176	1
177	1
178	1
179	1
180	1
181	2
186	2
188	1
193	1
194	1
196	1
197	1
198	1
200	1
203	1
207	1
213	1
215	1
219	1
220	1
221	1
223	1
228	1
231	1
232	1
235	1
251	1
252	1
265	1
269	1
271	1
275	1
276	1
283	1
# Distribution of population loci after applying locus constraints.
# Distribution of valid loci matched to catalog locus.
# Valid samples at locus	Count
104	1
106	4
107	8
108	20
109	24
110	22
111	38
112	25
113	19
114	19
115	12
116	16
117	7
118	8
119	2
120	1
121	2
123	2
124	1
125	1
126	2
127	3
128	3
129	8
130	23
131	61
132	81
133	85
134	138
135	162
136	149
137	146
138	166
139	115
140	102
141	74
142	60
143	39
144	38
145	47
146	27
147	35
148	25
149	33
150	39
151	38
152	41
153	42
154	26
155	37
156	34
157	21
158	24
159	19
160	8
161	8
162	6
163	5
165	2
166	3
167	5
168	12
169	13
170	38
171	60
172	75
173	73
174	82
175	104
176	109
177	113
178	123
179	131
180	123
181	121
182	105
183	107
184	101
185	80
186	98
187	90
188	88
189	97
190	106
191	106
192	90
193	64
194	99
195	96
196	95
197	87
198	82
199	85
200	88
201	72
202	81
203	54
204	70
205	62
206	52
207	37
208	35
209	51
210	33
211	33
212	29
213	28
214	40
215	39
216	39
217	46
218	50
219	51
220	65
221	58
222	68
223	55
224	64
225	65
226	63
227	69
228	60
229	65
230	75
231	74
232	87
233	82
234	91
235	98
236	103
237	102
238	107
239	107
240	111
241	99
242	97
243	111
244	123
245	103
246	97
247	120
248	88
249	76
250	77
251	78
252	52
253	66
254	61
255	57
256	44
257	46
258	36
259	29
260	31
261	25
262	29
263	29
264	23
265	41
266	22
267	32
268	35
269	51
270	52
271	40
272	59
273	71
274	53
275	67
276	84
277	81
278	88
279	103
280	126
281	135
282	148
283	152
284	149
285	160
286	175
287	177
288	206
289	217
290	234
291	229
292	268
293	284
294	256
295	256
296	260
297	288
298	288
299	326
300	316
301	308
302	321
303	320
304	317
305	324
306	322
307	373
308	341
309	347
310	366
311	372
312	378
313	415
314	365
315	386
316	390
317	379
318	397
319	393
320	349
321	308
322	287
323	224
324	155
325	94
326	39
327	14
328	8
329	2
# Distribution of confounded loci at catalog locus.
# Confounded samples at locus	Count
0	22507
1	191
2	88
3	59
4	27
5	30
6	23
7	15
8	22
9	14
10	9
11	16
12	9
13	5
14	5
15	3
16	7
