"KOD03_097"	"AD06_048"	"WC05_048"	"HS04_048"	"PS12_009"	"GS13_017"	"PWS12_133"	"UP03_048"
"X10002"	0.2165	0.0634	0.0881	0.0731	0.1159	0.0833	0.1902	0
"X10003"	0.3231	0.2738	0.2218	0.2072	0.2872	0.3561	0.337	0.2967
"X10004"	0.3378	0.2828	0.3864	0.2632	0.4141	0.5076	0.2826	0.2866
"X10007"	0.0939	0.2032	0.2159	0.2019	0.3904	0.3864	0.1196	0.1132
"X10008"	0.226	0.0701	0.0634	0.2162	0.2583	0.1818	0.1558	0.166
"X10013"	0.2165	0.228	0.142	0.1404	0.2165	0.1591	0.2826	0.2962
"X10014"	0.131	0.0323	0	0.0256	0.1548	0.2273	0.1976	0.0788
"X10018"	0.0985	0.0357	0.0655	0.1063	0.0263	0	0.085	0
"X1002"	0.1579	0.1505	0.0303	0.0494	0.0482	0.0833	0.1558	0.0918
"X10020"	0	0.0323	0	0	0.0494	0.1591	0	0
"X10022"	0.0482	0.0323	0.1155	0.0494	0	0	0	0.0238
"X10027"	0.1372	0.228	0.1676	0.025	0.0244	0.0833	0.0417	0.1341
"X1003"	0.2524	0.2032	0.321	0.2019	0.2165	0.1591	0.2536	0.1934
"X10030"	0.0533	0.1305	0.0966	0.1786	0.2365	0.1	0	0.1451
"X10031"	0.4726	0.5	0.4479	0.4811	0.4524	0.5	0.5	0.4994
"X10032"	0.178	0.2816	0.1264	0.2072	0.0939	0	0.2228	0.0918
"X10034"	0.0506	0.0357	0.119	0.025	0	0	0.0815	0.0263
"X10035"	0.4732	0.4989	0.4567	0.466	0.4622	0.3409	0.4728	0.475
"X10036"	0.1092	0.0357	0.0323	0.1036	0	0	0.085	0
"X10041"	0.1372	0.0323	0.1922	0.1615	0.0939	0	0.0417	0.1545
"X10044"	0.0985	0.2032	0.38	0.1615	0.226	0.2273	0.1558	0.1976
"X10046"	0.1472	0.1032	0.0303	0	0	0	0	0.0731
"X10057"	0.0256	0	0.2957	0.1862	0.1215	0	0	0.0238
"X10058"	0.101	0.0701	0.1774	0.2162	0.2218	0.2455	0.1902	0.2456
"X10059"	0.1123	0.0998	0.2883	0.1588	0.2112	0.2879	0.1621	0.1653
"X1006"	0.0494	0	0	0.0985	0.1693	0.0833	0.0435	0.0697
"X10062"	0	0.0345	0	0.027	0.0263	0	0.0455	0.101
"X10070"	0.0985	0.0966	0.0907	0.0494	0.0731	0.0833	0.1902	0
"X10075"	0.1437	0.1446	0.0634	0.0263	0.0256	0	0.0417	0.2019
"X10080"	0.1159	0.1226	0.1922	0.0985	0.1159	0.0833	0.3098	0.047
"X10083"	0.1824	0.0966	0.0655	0.0519	0.2212	0.0833	0.0417	0.0506
"X10084"	0	0.1264	0	0	0	0	0	0.0238
"X10085"	0.0713	0.0333	0.0303	0.0731	0.0482	0.0833	0.0417	0.1372
"X10088"	0.1215	0.1032	0.0323	0.1276	0	0	0.0815	0
"X10092"	0.0731	0.0333	0	0	0	0	0.1196	0.0238
"X10094"	0.0939	0	0	0	0	0	0.1196	0.047
"X10097"	0.1437	0.1613	0.037	0.1284	0.0303	0	0.2078	0.0768
"X10099"	0.2112	0.1653	0.1155	0.1653	0.0939	0.0833	0.3098	0.0962
"X10100"	0	0.0998	0.142	0.0768	0.0244	0.1591	0.0435	0.0256
"X10103"	0.0244	0	0.0303	0	0.1821	0	0	0
"X10104"	0.1186	0.1709	0	0	0	0.0833	0.1976	0.0731
"X10106"	0.025	0.1226	0.0597	0	0.0244	0	0	0.0238
"X1011"	0.0482	0.1226	0.0597	0.0749	0	0.0833	0.1558	0.1132
"X10113"	0.1821	0.2516	0.2159	0.3231	0.2165	0.1591	0.2228	0.2474
"X10115"	0.2397	0.2586	0.0615	0.2943	0.0519	0	0.0476	0.0939
"X10121"	0.2504	0.2646	0.266	0.101	0.2065	0.0833	0.1245	0.1615
"X10127"	0	0.0634	0	0.025	0.0713	0.1591	0.0417	0
"X10129"	0.0713	0.0655	0.1462	0.0985	0.0482	0	0.0417	0.0918
"X1013"	0.0713	0	0.0615	0.0263	0.1404	0.0833	0	0.047
"X10130"	0.0713	0.2032	0.0312	0.025	0	0	0.2536	0.047
"X10133"	0.1372	0.2742	0.142	0.0768	0.2577	0.1591	0.0815	0.1132
"X10134"	0.3718	0.4368	0.2968	0.3175	0.3716	0.4621	0.3098	0.3596
"X10136"	0.0286	0	0	0.0263	0	0	0.1196	0
"X10139"	0.3231	0.4368	0.119	0.3519	0.025	0	0.164	0.3848
"X10140"	0.131	0.1552	0.2092	0.2112	0.281	0.4333	0.3429	0.1922
"X10141"	0.2976	0.2032	0.2604	0.2449	0.3208	0.0909	0.1558	0.253
"X10146"	0.1548	0.0966	0	0	0	0	0	0.0768
"X10153"	0.2537	0.0634	0.142	0.1404	0.2701	0	0.2826	0.3118
"X10154"	0	0	0.0323	0.025	0.025	0.1727	0	0.025
"X10155"	0.0244	0.0333	0.119	0.0263	0.0256	0	0.0815	0.0494
"X10156"	0.5012	0.4954	0.4849	0.5006	0.4896	0.4455	0.4909	0.4917
"X10160"	0.5026	0.4885	0.504	0.5019	0.4994	0.5076	0.502	0.5035
"X10163"	0.2365	0.3116	0.0677	0	0.0788	0.0909	0	0.0263
"X10165"	0.2577	0.1552	0.1362	0.3378	0.2577	0.3864	0.4605	0.2632
"X10168"	0	0.1032	0.0323	0.027	0	0	0	0
"X10172"	0.0548	0	0.0881	0.0519	0	0	0.1196	0.0482
"X10175"	0.4026	0.372	0.3011	0.4346	0.3317	0.2879	0.3804	0.3664
"X10185"	0.0494	0.0935	0	0.025	0.0244	0	0.1558	0.0697
"X10193"	0.205	0.1884	0.0907	0.2874	0.101	0.1727	0.1976	0.101
"X10196"	0.0713	0.0323	0	0.0519	0.0506	0.1591	0	0.0713
"X102"	0.1444	0.1264	0.0907	0.0731	0.1215	0.0909	0.1558	0.0731
"X1020"	0.2701	0.0935	0.339	0.3904	0.3183	0.3939	0.2536	0.1934
"X10202"	0	0	0.0323	0	0.1479	0.0833	0	0
"X10203"	0.0256	0	0	0.0749	0.1821	0.1727	0.1902	0.0238
"X10205"	0.1952	0.0998	0.119	0.1092	0.0294	0	0.1196	0.0749
"X10206"	0.4663	0.4713	0.4312	0.4444	0.4596	0.3864	0.4511	0.434
"X10209"	0.1615	0.2414	0.2742	0.1036	0.0985	0.0833	0.2246	0.0939
"X10211"	0.4519	0.4742	0.4943	0.4838	0.3726	0.3409	0.4638	0.4622
"X10212"	0.0494	0.0655	0.0881	0.2212	0	0	0	0.1132
"X10214"	0.1186	0	0.2345	0.0256	0.0494	0	0.0815	0.047
"X10215"	0.372	0.3548	0.4466	0.4818	0.4988	0.4621	0.2727	0.1934
"X1022"	0.0533	0	0.0312	0.0278	0.1276	0.0833	0	0
"X10220"	0.4976	0.4849	0.4886	0.4878	0.4896	0.5227	0.5054	0.4936
"X10222"	0.101	0.1226	0.1676	0.1186	0	0.0833	0	0.025
"X10224"	0.2162	0.0726	0.0998	0.101	0.1509	0	0.0435	0.131
"X10231"	0.2748	0.266	0.3034	0.2992	0.226	0.0833	0.1976	0.2019
"X10232"	0.0278	0.0345	0	0.027	0	0	0.2228	0.1404
"X10233"	0.5	0.4968	0.4859	0.5034	0.5045	0.5152	0.462	0.503
"X10235"	0.025	0	0.0312	0.0985	0.0256	0	0	0.047
"X10238"	0	0	0.0701	0.0579	0	0	0.1299	0.027
"X10239"	0.4887	0.4957	0.4487	0.4929	0.479	0.3864	0.4802	0.4975
"X10242"	0.2524	0.228	0.142	0.1404	0.1579	0.0833	0.2826	0.2397
"X10244"	0.3788	0.3995	0.5013	0.503	0.4854	0.3939	0.4638	0.3788
"X10251"	0.5043	0.4897	0.5074	0.4885	0.4784	0.2879	0.5018	0.5067
"X10252"	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
"X10258"	0	0.037	0.2586	0.1036	0.1693	0	0.085	0.1245
"X1026"	0	0	0	0	0	0	0.1245	0
"X10261"	0.3583	0.3034	0.245	0.3851	0.3423	0.3091	0.1976	0.1862
"X10264"	0.1017	0.0998	0.2426	0.2396	0.2748	0.1727	0.303	0.2103
"X10266"	0.3589	0.2222	0.2293	0.2928	0.2312	0.1727	0.2536	0.1906
"X10268"	0.1437	0.1653	0.2957	0.0533	0.275	0	0.0417	0.0519
"X10286"	0.4403	0.4245	0.4871	0.5053	0.4802	0.3889	0.3822	0.2928
"X10289"	0.178	0.2816	0.2159	0.0494	0.0506	0	0.1196	0.212
"X10295"	0.5023	0.5049	0.4908	0.506	0.5007	0.5273	0.5018	0.5018
"X10301"	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
"X10302"	0.0244	0.0634	0.0303	0.1404	0.0939	0	0.1558	0.0238
"X10303"	0.1693	0.2578	0.1986	0.164	0.131	0.1889	0.1996	0.1906
"X10307"	0.3963	0.4419	0.4355	0.3917	0.3917	0.4697	0.4964	0.4098
"X1031"	0.0713	0.0655	0.1676	0.0962	0.1159	0	0	0
"X10310"	0.1186	0	0.0907	0.0533	0	0	0	0.0482
"X10312"	0.4994	0.5046	0.4379	0.4252	0.4019	0.2879	0.4901	0.5021
"X10317"	0.5013	0.5022	0.4718	0.4979	0.4955	0.4318	0.4964	0.4933
"X10322"	0.3926	0.469	0.2516	0.4487	0.4983	0.4318	0.4493	0.3083
"X10323"	0.4966	0.5	0.5012	0.494	0.4952	0.4773	0.5036	0.5014
"X10326"	0.0548	0	0	0.0985	0.0939	0	0	0
"X1033"	0.101	0.1505	0.0303	0.1215	0.025	0	0.2228	0.2212
"X10330"	0.1869	0.228	0.1986	0.1862	0.1653	0.1727	0.2826	0.3177
"X10333"	0.5043	0.5022	0.5066	0.5019	0.4982	0.4848	0.5072	0.5035
"X10338"	0.4865	0.4405	0.3719	0.2941	0.3357	0.1727	0.4946	0.4817
"X10339"	0.0713	0	0.0303	0.0494	0	0	0.1902	0.1132
"X1034"	0.1159	0.2598	0.1724	0.1437	0.0494	0.2273	0.0815	0.1742
"X10343"	0.0939	0.0634	0.1724	0.1906	0.0939	0.0833	0.085	0.1615
"X10346"	0.1821	0.0323	0	0	0.0519	0.2273	0.1196	0.0244
"X10348"	0.3506	0.2821	0.229	0.3574	0.3237	0.2455	0.3587	0.3357
"X10349"	0.0482	0	0.1155	0.1653	0.0713	0.0833	0	0
"X10355"	0	0	0	0	0.0263	0	0.1558	0
"X10356"	0.4537	0.4115	0.339	0.3904	0.3591	0.4545	0.4221	0.3548
"X10357"	0.0939	0.1505	0.1155	0.1821	0.1579	0	0.3098	0.1132
"X10359"	0.0494	0.1552	0.119	0.0256	0.0494	0	0.0417	0.0985
"X10361"	0.489	0.4977	0.4924	0.4583	0.4897	0.2879	0.5054	0.4402
"X10365"	0.1579	0.2586	0.0881	0.0731	0	0.0833	0.1558	0.2212
"X10367"	0.0832	0.1264	0.0615	0.025	0.0286	0	0	0.0506
"X10369"	0	0.0345	0.0907	0.1276	0.0519	0	0	0
"X10370"	0.0985	0.0966	0.0323	0.0256	0.0796	0.0833	0.085	0.0482
"X10371"	0.0962	0	0.0597	0.1404	0.0713	0.1591	0.1558	0.047
"X10376"	0.0482	0.0333	0.2159	0.0962	0.0256	0.1591	0.1558	0.0238
"X10378"	0.131	0.037	0	0.0278	0	0	0.1902	0.0506
"X10380"	0.4723	0.5093	0.4441	0.4892	0.4032	0.5076	0.3715	0.4507
"X10381"	0.0482	0.1226	0	0.0749	0.025	0	0.1214	0.0238
"X10382"	0.0768	0	0.0615	0.0519	0.025	0	0	0.1036
"X10385"	0.1159	0.228	0.0881	0.0749	0.0244	0	0.2844	0.286
"X104"	0.0494	0.037	0	0.0731	0.2026	0	0	0.1186
"X10401"	0.5012	0.472	0.4593	0.5	0.4927	0.5227	0.4982	0.4704
"X10404"	0.1821	0.1552	0.0634	0.0256	0	0	0.0417	0
"X10406"	0.4033	0.4379	0.4667	0.3974	0.4414	0.3864	0.1558	0.3151
"X1041"	0.0482	0.1226	0.119	0.1186	0.101	0	0.2228	0.0918
"X10411"	0.2695	0.4161	0.3011	0.2583	0.2524	0.2879	0.4656	0.212
"X10416"	0.3293	0.1226	0.3286	0.3378	0.3385	0.1591	0.1558	0.1934
"X10418"	0.1472	0.1349	0.0323	0.0278	0.1215	0.1727	0	0.0506
"X10420"	0.1186	0.2426	0.0615	0.0985	0.1215	0.0909	0.1558	0.131
"X10422"	0.1063	0	0	0	0	0	0	0
"X10423"	0.437	0.4458	0.4032	0.4317	0.4659	0.5	0.4529	0.4089
"X10426"	0.3912	0.5034	0.4022	0.2511	0.3919	0.1591	0.3933	0.3604
"X10427"	0.4154	0.4978	0.5019	0.476	0.5032	0.5076	0.5018	0.4957
"X10430"	0	0.0783	0.0303	0	0	0	0.0435	0.1186
"X10436"	0.4737	0.4052	0.1976	0.3718	0.226	0.2273	0.4493	0.4663
"X10437"	0.178	0.2516	0.1922	0.2866	0.2524	0.2273	0.2312	0.2707
"X10439"	0.4738	0.5037	0.4796	0.5007	0.4866	0.5	0.5036	0.4994
"X10440"	0.1622	0.0323	0.1155	0.1276	0.1509	0.1667	0.1196	0.1245
"X10445"	0	0	0.0323	0	0.0506	0.2273	0.1245	0
"X10451"	0.494	0.4586	0.5075	0.4966	0.4966	0.5076	0.4901	0.4962
"X10452"	0.5027	0.463	0.5	0.5038	0.5056	0.4924	0.4357	0.4683
"X10465"	0.025	0	0	0.2421	0	0	0.2312	0.2019
"X10467"	0.3532	0.2968	0.4355	0.4298	0.4244	0.4318	0.4203	0.2642
"X10470"	0.4872	0.4368	0.471	0.4738	0.4788	0.4621	0.4928	0.4879
