"KOD03_097"	"AD06_048"	"WC05_048"	"HS04_048"	"PS12_009"	"GS13_017"	"PWS12_133"	"UP03_048"
"X10002"	-0.1268	-0.0169	-0.0323	-0.0263	-0.0526	0	-0.0952	NA
"X10003"	-0.2381	-0.1739	-0.1273	0.1336	0.1507	0.766	0.0108	-0.0431
"X10004"	-0.2581	0.0569	-0.3333	-0.1692	-0.1471	-0.6418	-0.1795	-0.0213
"X10007"	-0.039	-0.1111	-0.1228	-0.1143	-0.3448	-0.2941	-0.0455	-0.0513
"X10008"	-0.1343	-0.0189	-0.0169	-0.125	0.0323	1	-0.0698	0.2276
"X10013"	-0.1268	-0.1321	-0.0667	-0.0685	-0.1268	-0.0476	-0.1795	-0.2059
"X10014"	-0.0606	0	NA	0	-0.0769	-0.1	-0.1	-0.0286
"X10018"	-0.0411	0	-0.0175	-0.0448	0	NA	-0.0233	NA
"X1002"	-0.0811	-0.0714	0	-0.013	-0.0127	0	-0.0698	-0.038
"X10020"	NA	0	NA	NA	-0.013	-0.0476	NA	NA
"X10022"	-0.0127	0	-0.0492	-0.013	NA	NA	NA	0
"X10027"	-0.0667	-0.1321	-0.0847	0	0	0	0	-0.0649
"X1003"	-0.1594	-0.1111	-0.0383	-0.1143	-0.1268	-0.0476	-0.15	-0.1081
"X10030"	-0.0141	-0.0566	-0.0357	0.2222	-0.1429	0	NA	0.6465
"X10031"	-0.6	-0.9333	-0.4884	-0.6522	-0.5094	-1	-1	-0.907
"X10032"	-0.0959	-0.1837	-0.0545	0.1336	-0.039	NA	-0.122	-0.038
"X10034"	-0.0133	0	-0.0508	0	NA	NA	-0.0222	0
"X10035"	-0.4948	-0.5517	-0.2318	-0.3411	-0.1082	-0.2222	-0.5862	-0.181
"X10036"	-0.0462	0	0	-0.0435	NA	NA	-0.0233	NA
"X10041"	-0.0667	0	-0.1034	-0.0833	-0.039	NA	0	-0.0789
"X10044"	-0.0411	-0.1111	-0.1512	-0.0833	-0.1343	-0.1	-0.0698	-0.1111
"X10046"	-0.0725	-0.0385	0	NA	NA	NA	NA	-0.0263
"X10057"	0	NA	-0.2	-0.1014	-0.0556	NA	NA	0
"X10058"	-0.0423	-0.0189	-0.0909	-0.125	0.0983	-0.1111	-0.0952	0.0604
"X10059"	-0.0476	-0.037	-0.1923	-0.0794	-0.1212	-0.1579	-0.0732	-0.0857
"X1006"	-0.013	NA	NA	-0.0411	-0.0882	0	0	-0.025
"X10062"	NA	0	NA	0	0	NA	0	-0.0423
"X10070"	-0.0411	-0.0357	-0.0333	-0.013	-0.0263	0	-0.0952	NA
"X10075"	-0.0704	-0.0638	-0.0169	0	0	NA	0	-0.1143
"X10080"	-0.0526	-0.0526	-0.1034	-0.0411	-0.0526	0	-0.2105	-0.0123
"X10083"	-0.0968	-0.0357	-0.0175	-0.0137	-0.1304	0	0	-0.0133
"X10084"	NA	-0.0545	NA	NA	NA	NA	NA	0
"X10085"	-0.0256	0	0	-0.0263	-0.0127	0	0	-0.0667
"X10088"	-0.0556	-0.0385	0	-0.0588	NA	NA	-0.0222	NA
